Day,Timestamp,DayName,DemandMW,ForecastMW
1,7/2/2015 0:00:00,Thu,51756.0,58359.0
1,7/2/2015 1:00:00,Thu,50171.0,56030.0
1,7/2/2015 2:00:00,Thu,48655.0,54174.0
1,7/2/2015 3:00:00,Thu,47667.0,52900.0
1,7/2/2015 4:00:00,Thu,44629.0,49820.0
1,7/2/2015 5:00:00,Thu,40754.0,45902.0
1,7/2/2015 6:00:00,Thu,37547.0,39000.0
1,7/2/2015 7:00:00,Thu,35199.0,36959.0
1,7/2/2015 8:00:00,Thu,33637.0,35548.0
1,7/2/2015 9:00:00,Thu,32759.0,34790.0
1,7/2/2015 10:00:00,Thu,32536.0,34749.0
1,7/2/2015 11:00:00,Thu,33527.0,35896.0
1,7/2/2015 12:00:00,Thu,35196.0,37837.0
1,7/2/2015 13:00:00,Thu,36637.0,39197.0
1,7/2/2015 14:00:00,Thu,39221.0,41502.0
1,7/2/2015 15:00:00,Thu,42398.0,44365.0
1,7/2/2015 16:00:00,Thu,45675.0,47458.0
1,7/2/2015 17:00:00,Thu,48667.0,50287.0
1,7/2/2015 18:00:00,Thu,51260.0,52871.0
1,7/2/2015 19:00:00,Thu,53719.0,55398.0
1,7/2/2015 20:00:00,Thu,55525.0,57358.0
1,7/2/2015 21:00:00,Thu,56836.0,58987.0
1,7/2/2015 22:00:00,Thu,57505.0,59519.0
1,7/2/2015 23:00:00,Thu,56807.0,58634.0
2,7/3/2015 0:00:00,Fri,55044.0,57311.0
2,7/3/2015 1:00:00,Fri,52776.0,55059.0
2,7/3/2015 2:00:00,Fri,50986.0,53500.0
2,7/3/2015 3:00:00,Fri,49845.0,52166.0
2,7/3/2015 4:00:00,Fri,46817.0,49016.0
2,7/3/2015 5:00:00,Fri,43307.0,45108.0
2,7/3/2015 6:00:00,Fri,40173.0,39971.0
2,7/3/2015 7:00:00,Fri,37954.0,37656.0
2,7/3/2015 8:00:00,Fri,36353.0,35803.0
2,7/3/2015 9:00:00,Fri,35346.0,34716.0
2,7/3/2015 10:00:00,Fri,34981.0,34080.0
2,7/3/2015 11:00:00,Fri,35402.0,34180.0
2,7/3/2015 12:00:00,Fri,35919.0,34567.0
2,7/3/2015 13:00:00,Fri,36447.0,34875.0
2,7/3/2015 14:00:00,Fri,38820.0,36886.0
2,7/3/2015 15:00:00,Fri,42009.0,40782.0
2,7/3/2015 16:00:00,Fri,45201.0,45261.0
2,7/3/2015 17:00:00,Fri,48116.0,49239.0
2,7/3/2015 18:00:00,Fri,50501.0,52794.0
2,7/3/2015 19:00:00,Fri,52232.0,55171.0
2,7/3/2015 20:00:00,Fri,53443.0,56631.0
2,7/3/2015 21:00:00,Fri,54180.0,58416.0
2,7/3/2015 22:00:00,Fri,54510.0,58829.0
2,7/3/2015 23:00:00,Fri,54028.0,58231.0
3,7/4/2015 0:00:00,Sat,52732.0,55959.0
3,7/4/2015 1:00:00,Sat,50673.0,53211.0
3,7/4/2015 2:00:00,Sat,49028.0,49840.0
3,7/4/2015 3:00:00,Sat,47940.0,47344.0
3,7/4/2015 4:00:00,Sat,45385.0,44970.0
3,7/4/2015 5:00:00,Sat,42470.0,42789.0
3,7/4/2015 6:00:00,Sat,39566.0,38709.0
3,7/4/2015 7:00:00,Sat,37379.0,36527.0
3,7/4/2015 8:00:00,Sat,35757.0,34948.0
3,7/4/2015 9:00:00,Sat,34698.0,33997.0
3,7/4/2015 10:00:00,Sat,34057.0,33449.0
3,7/4/2015 11:00:00,Sat,33939.0,33533.0
3,7/4/2015 12:00:00,Sat,33910.0,33859.0
3,7/4/2015 13:00:00,Sat,34456.0,34470.0
3,7/4/2015 14:00:00,Sat,37333.0,37385.0
